Algorithm,MB/s,
RNG,43.230274,
AES-128-CBC-enc,81.467809,
AES-128-CBC-dec,89.256463,
AES-192-CBC-enc,70.561429,
AES-192-CBC-dec,75.875539,
AES-256-CBC-enc,60.266625,
AES-256-CBC-dec,65.408410,
AES-128-GCM-enc,46.526547,
AES-128-GCM-dec,46.594225,
AES-192-GCM-enc,42.317304,
AES-192-GCM-dec,42.339783,
AES-256-GCM-enc,38.731126,
AES-256-GCM-dec,38.699651,
GMAC Table 4-bit,108.586732,
CHACHA,198.659171,
CHA-POLY,132.860480,
MD5,266.679779,
POLY1305,398.838185,
SHA,210.044188,
SHA-224,95.998257,
SHA-256,96.055000,
SHA-384,197.972744,
SHA-512,197.929909,
SHA-512/224,197.625881,
SHA-512/256,197.808839,
SHA3-224,139.272905,
SHA3-256,132.093554,
SHA3-384,101.304210,
SHA3-512,70.779779,
HMAC-MD5,268.778728,
HMAC-SHA,213.004032,
HMAC-SHA224,96.025444,
HMAC-SHA256,96.085432,
HMAC-SHA384,197.865995,
HMAC-SHA512,198.008025,
