Algorithm,MB/s,
RNG,43.264105,
AES-128-CBC-enc,86.689125,
AES-128-CBC-dec,93.380213,
AES-192-CBC-enc,76.535112,
AES-192-CBC-dec,78.966023,
AES-256-CBC-enc,66.670394,
AES-256-CBC-dec,68.776800,
AES-128-GCM-enc,49.063199,
AES-128-GCM-dec,48.874853,
AES-192-GCM-enc,44.670269,
AES-192-GCM-dec,44.446033,
AES-256-GCM-enc,41.108868,
AES-256-GCM-dec,40.990975,
GMAC Table 4-bit,108.696920,
CHACHA,189.880123,
CHA-POLY,128.898084,
MD5,269.647054,
POLY1305,399.590340,
SHA,210.918169,
SHA-224,96.749686,
SHA-256,96.735829,
SHA-384,196.579005,
SHA-512,196.688934,
SHA-512/224,195.790849,
SHA-512/256,195.766266,
SHA3-224,138.065576,
SHA3-256,131.264643,
SHA3-384,101.049733,
SHA3-512,70.342550,
HMAC-MD5,273.355683,
HMAC-SHA,212.419648,
HMAC-SHA224,96.752498,
HMAC-SHA256,96.753547,
HMAC-SHA384,195.399227,
HMAC-SHA512,195.349082,
