Algorithm,MB/s,
RNG,41.731517,
AES-128-CBC-enc,90.490989,
AES-128-CBC-dec,93.375596,
AES-192-CBC-enc,76.409018,
AES-192-CBC-dec,78.882021,
AES-256-CBC-enc,66.255284,
AES-256-CBC-dec,68.627532,
AES-128-GCM-enc,48.848453,
AES-128-GCM-dec,48.515481,
AES-192-GCM-enc,44.449414,
AES-192-GCM-dec,44.357258,
AES-256-GCM-enc,40.933768,
AES-256-GCM-dec,40.839078,
GMAC Table 4-bit,108.395520,
CHACHA,188.877266,
CHA-POLY,128.074984,
MD5,272.568378,
POLY1305,397.989983,
SHA,211.003746,
SHA-224,96.133596,
SHA-256,96.407994,
SHA-384,195.934353,
SHA-512,196.302397,
SHA-512/224,196.129184,
SHA-512/256,195.788472,
SHA3-224,137.647688,
SHA3-256,130.306510,
SHA3-384,100.743085,
SHA3-512,70.173723,
HMAC-MD5,267.400335,
HMAC-SHA,210.684151,
HMAC-SHA224,96.518409,
HMAC-SHA256,96.399485,
HMAC-SHA384,196.457787,
HMAC-SHA512,196.501966,
