Algorithm,MB/s,
RNG,40.798488,
AES-128-CBC-enc,90.475722,
AES-128-CBC-dec,93.380651,
AES-192-CBC-enc,76.411663,
AES-192-CBC-dec,78.922858,
AES-256-CBC-enc,66.579772,
AES-256-CBC-dec,68.750162,
AES-128-GCM-enc,48.874431,
AES-128-GCM-dec,48.735400,
AES-192-GCM-enc,44.423166,
AES-192-GCM-dec,44.480043,
AES-256-GCM-enc,41.002016,
AES-256-GCM-dec,40.938962,
GMAC Table 4-bit,108.652178,
CHACHA,189.898312,
CHA-POLY,128.527132,
MD5,273.226696,
POLY1305,399.341239,
SHA,212.202260,
SHA-224,96.689623,
SHA-256,96.653082,
SHA-384,196.969501,
SHA-512,197.006739,
SHA-512/224,197.063478,
SHA-512/256,196.850434,
SHA3-224,137.977075,
SHA3-256,130.938243,
SHA3-384,101.003082,
SHA3-512,70.278134,
HMAC-MD5,270.061339,
HMAC-SHA,212.282335,
HMAC-SHA224,96.610805,
HMAC-SHA256,96.614343,
HMAC-SHA384,196.845121,
HMAC-SHA512,196.869144,
