,Side,Cipher,Group,Total Bytes,Num Conns,Rx ms,Tx ms,Rx MB/s,Tx MB/s,Connect Total ms,Connect Avg ms,Label
1,Client,DHE-RSA-AES128-SHA,ECC_SECP256R1,2097152,9.0,57.078,26.108,17.52,38.302,946.795,105.199,DHE-RSA-AES128-SHA_ECC_SECP256R1
3,Client,DHE-RSA-AES256-SHA,,1835008,8.0,89.43,35.38,9.784,24.731,909.495,113.687,DHE-RSA-AES256-SHA_nan
5,Client,DHE-PSK-AES256-GCM-SHA384,,2097152,9.0,118.176,43.468,8.462,23.006,860.443,95.605,DHE-PSK-AES256-GCM-SHA384_nan
7,Client,DHE-PSK-AES128-GCM-SHA256,,2359296,10.0,72.2,37.261,15.582,30.193,929.306,92.931,DHE-PSK-AES128-GCM-SHA256_nan
9,Client,PSK-AES256-GCM-SHA384,,2359296,10.0,91.888,44.289,12.243,25.402,868.278,86.828,PSK-AES256-GCM-SHA384_nan
11,Client,PSK-AES128-GCM-SHA256,,2621440,11.0,87.943,38.784,14.214,32.23,965.524,87.775,PSK-AES128-GCM-SHA256_nan
13,Client,DHE-PSK-AES256-CBC-SHA384,,2359296,10.0,94.917,36.412,11.852,30.897,954.89,95.489,DHE-PSK-AES256-CBC-SHA384_nan
15,Client,DHE-PSK-AES128-CBC-SHA256,,2359296,10.0,86.63,40.169,12.986,28.007,961.284,96.128,DHE-PSK-AES128-CBC-SHA256_nan
17,Client,PSK-AES256-CBC-SHA384,,2359296,10.0,81.829,33.574,13.748,33.508,882.146,88.215,PSK-AES256-CBC-SHA384_nan
19,Client,PSK-AES128-CBC-SHA256,,2359296,10.0,122.346,53.143,9.195,21.169,887.779,88.778,PSK-AES128-CBC-SHA256_nan
21,Client,PSK-AES128-CBC-SHA,,2621440,11.0,70.811,30.949,17.653,40.389,965.401,87.764,PSK-AES128-CBC-SHA_nan
23,Client,PSK-AES256-CBC-SHA,,2359296,10.0,82.289,39.124,13.671,28.755,880.223,88.022,PSK-AES256-CBC-SHA_nan
25,Client,ECDHE-RSA-AES128-SHA,,2097152,9.0,78.17,29.053,12.793,34.42,933.524,103.725,ECDHE-RSA-AES128-SHA_nan
27,Client,ECDHE-RSA-AES256-SHA,,2097152,9.0,77.791,35.226,12.855,28.388,927.443,103.049,ECDHE-RSA-AES256-SHA_nan
29,Client,ECDHE-ECDSA-AES128-SHA,,2359296,10.0,65.979,29.648,17.051,37.945,954.995,95.5,ECDHE-ECDSA-AES128-SHA_nan
31,Client,ECDHE-ECDSA-AES256-SHA,,2359296,10.0,78.58,31.785,14.317,35.394,950.077,95.008,ECDHE-ECDSA-AES256-SHA_nan
33,Client,DHE-RSA-AES128-SHA256,,2097152,9.0,73.077,29.919,13.684,33.423,936.049,104.005,DHE-RSA-AES128-SHA256_nan
35,Client,DHE-RSA-AES256-SHA256,,2097152,9.0,99.218,48.064,10.079,20.806,953.192,105.91,DHE-RSA-AES256-SHA256_nan
37,Client,DHE-RSA-AES128-GCM-SHA256,,2097152,9.0,68.253,26.281,14.651,38.05,945.502,105.056,DHE-RSA-AES128-GCM-SHA256_nan
39,Client,DHE-RSA-AES256-GCM-SHA384,,2097152,9.0,82.043,29.039,12.189,34.437,922.412,102.49,DHE-RSA-AES256-GCM-SHA384_nan
41,Client,ECDHE-RSA-AES128-GCM-SHA256,,2097152,9.0,71.245,28.309,14.036,35.325,916.969,101.885,ECDHE-RSA-AES128-GCM-SHA256_nan
43,Client,ECDHE-RSA-AES256-GCM-SHA384,,2097152,9.0,79.073,30.544,12.647,32.74,919.88,102.209,ECDHE-RSA-AES256-GCM-SHA384_nan
45,Client,ECDHE-ECDSA-AES128-GCM-SHA256,,2359296,10.0,98.839,37.006,11.382,30.401,960.622,96.062,ECDHE-ECDSA-AES128-GCM-SHA256_nan
47,Client,ECDHE-ECDSA-AES256-GCM-SHA384,,2359296,10.0,93.246,35.594,12.065,31.606,952.828,95.283,ECDHE-ECDSA-AES256-GCM-SHA384_nan
49,Client,ECDHE-RSA-AES128-SHA256,,2097152,9.0,70.989,29.853,14.087,33.498,909.285,101.032,ECDHE-RSA-AES128-SHA256_nan
51,Client,ECDHE-ECDSA-AES128-SHA256,,2097152,9.0,107.283,42.16,9.321,23.719,900.906,100.101,ECDHE-ECDSA-AES128-SHA256_nan
53,Client,ECDHE-RSA-AES256-SHA384,,2097152,9.0,66.838,28.217,14.962,35.439,917.623,101.958,ECDHE-RSA-AES256-SHA384_nan
55,Client,ECDHE-ECDSA-AES256-SHA384,,2359296,10.0,74.341,34.579,15.133,32.534,957.716,95.772,ECDHE-ECDSA-AES256-SHA384_nan
57,Client,ECDHE-RSA-CHACHA20-POLY1305,,2097152,9.0,40.627,17.636,24.614,56.702,980.406,108.934,ECDHE-RSA-CHACHA20-POLY1305_nan
59,Client,ECDHE-ECDSA-CHACHA20-POLY1305,,2359296,10.0,34.72,13.157,32.402,85.507,950.014,95.001,ECDHE-ECDSA-CHACHA20-POLY1305_nan
61,Client,DHE-RSA-CHACHA20-POLY1305,,2359296,10.0,39.132,17.42,28.749,64.582,1042.234,104.223,DHE-RSA-CHACHA20-POLY1305_nan
63,Client,ECDHE-RSA-CHACHA20-POLY1305-OLD,,2359296,10.0,41.983,14.477,26.796,77.712,1032.168,103.217,ECDHE-RSA-CHACHA20-POLY1305-OLD_nan
65,Client,ECDHE-ECDSA-CHACHA20-POLY1305-OLD,,2359296,10.0,38.361,15.862,29.327,70.925,953.366,95.337,ECDHE-ECDSA-CHACHA20-POLY1305-OLD_nan
67,Client,DHE-RSA-CHACHA20-POLY1305-OLD,,2359296,10.0,35.201,15.913,31.959,70.695,1053.101,105.31,DHE-RSA-CHACHA20-POLY1305-OLD_nan
69,Client,ECDHE-PSK-AES128-CBC-SHA256,,1835008,8.0,62.619,23.36,13.973,37.458,970.421,121.303,ECDHE-PSK-AES128-CBC-SHA256_nan
71,Client,ECDHE-PSK-AES128-GCM-SHA256,,2359296,10.0,81.345,31.09,13.83,36.185,929.167,92.917,ECDHE-PSK-AES128-GCM-SHA256_nan
73,Client,PSK-CHACHA20-POLY1305,,2621440,11.0,55.151,34.242,22.665,36.505,952.955,86.632,PSK-CHACHA20-POLY1305_nan
