,Side,Cipher,Group,Total Bytes,Num Conns,Rx ms,Tx ms,Rx MB/s,Tx MB/s,Connect Total ms,Connect Avg ms,Label
1,Client,TLS13-AES128-GCM-SHA256,ECC_SECP384R1,11272192,44,407.732,164.203,13.183,32.734,222.468,5.056,TLS13-AES128-GCM-SHA256_ECC_SECP384R1
3,Client,TLS13-AES128-GCM-SHA256,ECC_SECP521R1,6553600,26,245.319,90.167,12.739,34.658,335.924,12.92,TLS13-AES128-GCM-SHA256_ECC_SECP521R1
5,Client,TLS13-AES128-GCM-SHA256,FFDHE_2048,12320768,48,423.162,157.841,13.884,37.221,312.699,6.515,TLS13-AES128-GCM-SHA256_FFDHE_2048
7,Client,TLS13-AES256-GCM-SHA384,ECC_SECP256R1,10223616,40,538.545,215.672,9.052,22.604,139.751,3.494,TLS13-AES256-GCM-SHA384_ECC_SECP256R1
9,Client,TLS13-AES256-GCM-SHA384,ECC_SECP384R1,9961472,39,432.412,170.447,10.985,27.868,204.286,5.238,TLS13-AES256-GCM-SHA384_ECC_SECP384R1
11,Client,TLS13-AES256-GCM-SHA384,ECC_SECP521R1,6553600,26,263.302,95.497,11.869,32.724,334.714,12.874,TLS13-AES256-GCM-SHA384_ECC_SECP521R1
13,Client,TLS13-AES256-GCM-SHA384,FFDHE_2048,11010048,43,445.03,168.668,11.797,31.126,290.129,6.747,TLS13-AES256-GCM-SHA384_FFDHE_2048
15,Client,TLS13-CHACHA20-POLY1305-SHA256,ECC_SECP256R1,23068672,89,411.51,164.438,26.731,66.894,220.508,2.478,TLS13-CHACHA20-POLY1305-SHA256_ECC_SECP256R1
17,Client,TLS13-CHACHA20-POLY1305-SHA256,ECC_SECP384R1,17301504,67,263.134,102.009,31.353,80.875,324.092,4.837,TLS13-CHACHA20-POLY1305-SHA256_ECC_SECP384R1
19,Client,TLS13-CHACHA20-POLY1305-SHA256,ECC_SECP521R1,7864320,31,138.402,55.352,27.095,67.748,410.985,13.258,TLS13-CHACHA20-POLY1305-SHA256_ECC_SECP521R1
21,Client,TLS13-CHACHA20-POLY1305-SHA256,FFDHE_2048,17563648,68,282.13,103.263,29.685,81.104,455.757,6.702,TLS13-CHACHA20-POLY1305-SHA256_FFDHE_2048
